condition,eps,sample_id,iterations,execution_time,filename
moderate,0.005,559,79,481.1387493610382,data/sioux/moderate/sample_0559.pkl
moderate,0.005,510,70,482.85816836357117,data/sioux/moderate/sample_0510.pkl
moderate,0.005,824,71,484.6065800189972,data/sioux/moderate/sample_0824.pkl
moderate,0.005,952,79,486.5446529388428,data/sioux/moderate/sample_0952.pkl
moderate,0.005,310,66,488.195743560791,data/sioux/moderate/sample_0310.pkl
moderate,0.005,496,77,490.112610578537,data/sioux/moderate/sample_0496.pkl
moderate,0.005,629,75,491.94332551956177,data/sioux/moderate/sample_0629.pkl
moderate,0.005,657,72,493.7281095981598,data/sioux/moderate/sample_0657.pkl
moderate,0.005,96,79,495.6447434425354,data/sioux/moderate/sample_0096.pkl
moderate,0.005,918,75,497.4734034538269,data/sioux/moderate/sample_0918.pkl
moderate,0.005,777,67,499.14169454574585,data/sioux/moderate/sample_0777.pkl
moderate,0.005,340,70,500.8726375102997,data/sioux/moderate/sample_0340.pkl
moderate,0.005,804,64,502.4601185321808,data/sioux/moderate/sample_0804.pkl
moderate,0.005,581,75,504.2891323566437,data/sioux/moderate/sample_0581.pkl
moderate,0.005,536,65,505.92197585105896,data/sioux/moderate/sample_0536.pkl
moderate,0.005,21,64,507.5259163379669,data/sioux/moderate/sample_0021.pkl
moderate,0.005,78,59,509.0028109550476,data/sioux/moderate/sample_0078.pkl
moderate,0.005,795,76,510.86421036720276,data/sioux/moderate/sample_0795.pkl
moderate,0.005,953,65,512.4874727725983,data/sioux/moderate/sample_0953.pkl
moderate,0.005,665,64,514.1015949249268,data/sioux/moderate/sample_0665.pkl
moderate,0.005,293,79,516.0221240520477,data/sioux/moderate/sample_0293.pkl
moderate,0.005,890,71,517.7726483345032,data/sioux/moderate/sample_0890.pkl
moderate,0.005,161,73,519.5730919837952,data/sioux/moderate/sample_0161.pkl
moderate,0.005,653,64,521.1962428092957,data/sioux/moderate/sample_0653.pkl
moderate,0.005,486,77,523.1048851013184,data/sioux/moderate/sample_0486.pkl
moderate,0.005,197,67,524.7628903388977,data/sioux/moderate/sample_0197.pkl
moderate,0.005,615,74,526.5901856422424,data/sioux/moderate/sample_0615.pkl
moderate,0.005,61,67,528.2701675891876,data/sioux/moderate/sample_0061.pkl
moderate,0.005,544,97,530.5903122425079,data/sioux/moderate/sample_0544.pkl
moderate,0.005,658,75,532.4391083717346,data/sioux/moderate/sample_0658.pkl
moderate,0.005,306,76,534.3201575279236,data/sioux/moderate/sample_0306.pkl
moderate,0.005,662,73,536.1131937503815,data/sioux/moderate/sample_0662.pkl
moderate,0.005,438,78,538.043714761734,data/sioux/moderate/sample_0438.pkl
moderate,0.005,113,70,539.7843992710114,data/sioux/moderate/sample_0113.pkl
moderate,0.005,147,84,541.8087959289551,data/sioux/moderate/sample_0147.pkl
moderate,0.005,391,72,543.6138141155243,data/sioux/moderate/sample_0391.pkl
moderate,0.005,670,71,545.4031093120575,data/sioux/moderate/sample_0670.pkl
moderate,0.005,77,82,547.4647288322449,data/sioux/moderate/sample_0077.pkl
moderate,0.005,477,61,549.0389783382416,data/sioux/moderate/sample_0477.pkl
moderate,0.005,98,71,550.8120918273926,data/sioux/moderate/sample_0098.pkl
moderate,0.005,482,73,552.6492078304291,data/sioux/moderate/sample_0482.pkl
moderate,0.005,493,71,554.3861021995544,data/sioux/moderate/sample_0493.pkl
moderate,0.005,330,78,556.3198964595795,data/sioux/moderate/sample_0330.pkl
moderate,0.005,550,68,558.0122444629669,data/sioux/moderate/sample_0550.pkl
moderate,0.005,129,83,560.0497045516968,data/sioux/moderate/sample_0129.pkl
moderate,0.005,900,66,561.6944136619568,data/sioux/moderate/sample_0900.pkl
moderate,0.005,107,69,563.3960952758789,data/sioux/moderate/sample_0107.pkl
moderate,0.005,164,75,565.2483549118042,data/sioux/moderate/sample_0164.pkl
moderate,0.005,693,79,567.1803340911865,data/sioux/moderate/sample_0693.pkl
moderate,0.005,702,63,568.7882142066956,data/sioux/moderate/sample_0702.pkl
moderate,0.005,278,73,570.6110751628876,data/sioux/moderate/sample_0278.pkl
moderate,0.005,196,74,572.4670362472534,data/sioux/moderate/sample_0196.pkl
moderate,0.005,502,58,573.9536077976227,data/sioux/moderate/sample_0502.pkl
moderate,0.005,453,79,575.9259860515594,data/sioux/moderate/sample_0453.pkl
moderate,0.005,956,81,577.908741235733,data/sioux/moderate/sample_0956.pkl
moderate,0.005,752,93,580.1511204242706,data/sioux/moderate/sample_0752.pkl
moderate,0.005,519,50,581.4236469268799,data/sioux/moderate/sample_0519.pkl
moderate,0.005,84,79,583.3512077331543,data/sioux/moderate/sample_0084.pkl
moderate,0.005,116,63,584.9300417900085,data/sioux/moderate/sample_0116.pkl
moderate,0.005,76,63,586.4916732311249,data/sioux/moderate/sample_0076.pkl
moderate,0.005,105,69,588.2010836601257,data/sioux/moderate/sample_0105.pkl
moderate,0.005,102,82,590.2024993896484,data/sioux/moderate/sample_0102.pkl
moderate,0.005,531,85,592.2839810848236,data/sioux/moderate/sample_0531.pkl
moderate,0.005,679,85,594.3507862091064,data/sioux/moderate/sample_0679.pkl
moderate,0.005,898,72,596.1451132297516,data/sioux/moderate/sample_0898.pkl
moderate,0.005,86,86,598.2328913211823,data/sioux/moderate/sample_0086.pkl
moderate,0.005,48,76,600.0947959423065,data/sioux/moderate/sample_0048.pkl
moderate,0.005,121,62,601.6398229598999,data/sioux/moderate/sample_0121.pkl
moderate,0.005,649,80,603.6076338291168,data/sioux/moderate/sample_0649.pkl
moderate,0.005,59,70,605.3350229263306,data/sioux/moderate/sample_0059.pkl
moderate,0.005,67,82,607.3318274021149,data/sioux/moderate/sample_0067.pkl
moderate,0.005,68,70,609.0802018642426,data/sioux/moderate/sample_0068.pkl
moderate,0.005,289,69,610.7753570079803,data/sioux/moderate/sample_0289.pkl
moderate,0.005,813,71,612.5571556091309,data/sioux/moderate/sample_0813.pkl
moderate,0.005,695,57,614.0108416080475,data/sioux/moderate/sample_0695.pkl
moderate,0.005,771,75,615.8664908409119,data/sioux/moderate/sample_0771.pkl
moderate,0.005,218,53,617.2405309677124,data/sioux/moderate/sample_0218.pkl
moderate,0.005,288,78,619.1610114574432,data/sioux/moderate/sample_0288.pkl
moderate,0.005,172,90,621.3901522159576,data/sioux/moderate/sample_0172.pkl
